incident_name,has_accounts,has_addresses,has_transactions,num_hacker_accounts,num_related_addresses,num_transactions,num_normal_tx,num_internal_tx,num_erc20_tx,num_erc721_tx,total_eth_value,unique_from_addresses,unique_to_addresses,unique_contracts,earliest_timestamp,latest_timestamp,year,month,amount_stolen,description,data_quality,has_complete_data,earliest_date,latest_date,activity_duration_days
Yearn_(yDai),True,True,True,1,16,91,33,19,39,0,387.08084199999996,8,9,6,1612002301.0,1754172311.0,,,,,Low,True,2021-01-30 10:25:01,2025-08-02 22:05:11,1645.49
THORChain,True,True,True,1,57,89,71,3,15,0,2128.473380402377,5,54,6,1626731813.0,1627145029.0,,,,,Low,True,2021-07-19 21:56:53,2021-07-24 16:43:49,4.78
Nexus_Mutual_1,True,True,True,1,21,88,47,6,35,0,10938.40537112511,12,14,5,1607941886.0,1621114491.0,,,,,Low,True,2020-12-14 10:31:26,2021-05-15 21:34:51,152.46
AnySwap_v3,True,True,True,1,20,81,59,5,17,0,4088.470420512399,10,13,7,1625947984.0,1667061815.0,,,,,Low,True,2021-07-10 20:13:04,2022-10-29 16:43:35,475.85
Coinrail,True,True,True,1,61,76,35,3,37,1,18086.597789552416,31,8,27,1528599557.0,1729159415.0,,,,,Low,True,2018-06-10 02:59:17,2024-10-17 10:03:35,2321.29
Bunny_Finance_1,True,True,True,1,10,74,61,0,13,0,33960.482096390006,5,7,1,1621464869.0,1738750811.0,,,,,Low,True,2021-05-19 22:54:29,2025-02-05 10:20:11,1357.48
SashimiSwap,True,True,True,1,30,72,39,10,23,0,7.099023705161794,9,27,8,1640841446.0,1646564944.0,,,,,Low,True,2021-12-30 05:17:26,2022-03-06 11:09:04,66.24
Visor_Finance,True,True,True,1,16,68,32,15,21,0,153.00001,9,9,5,1640095213.0,1667061923.0,,,,,Low,True,2021-12-21 14:00:13,2022-10-29 16:45:23,312.11
Bent_Finance,True,True,True,1,22,66,29,0,37,0,-6.565929490000813,9,17,9,1639103205.0,1640267133.0,,,,,Low,True,2021-12-10 02:26:45,2021-12-23 13:45:33,13.47
Punk_Protocol,True,True,True,1,24,64,46,5,13,0,973.3117718512219,10,12,8,1628549306.0,1740808451.0,,,,,Low,True,2021-08-09 22:48:26,2025-03-01 05:54:11,1299.3
MonoX_Finance_2,True,True,True,1,41,62,37,3,22,0,2248.151595401691,21,8,18,1638278871.0,1757207039.0,,,,,Low,True,2021-11-30 13:27:51,2025-09-07 01:03:59,1376.48
